marca,precoComDesconto,precoSemDesconto,Condicao,tamanho_mapeado,Cores_Agrupadas
1462,64.0,160.0,2,5,2
2574,57.0,219.0,0,4,5
421,69.0,279.0,0,5,16
5782,25000.0,87500.0,4,6,16
5940,20.97,69.9,4,4,18
617,29.98,119.9,4,6,3
3265,9000.0,24000.0,4,5,16
3413,12000.0,88700.0,2,5,0
283,54500.0,1.45,0,6,14
4205,39.9,119.99,0,5,5
3360,20.0,59.0,4,5,9
6497,13.49,89.9,0,5,18
6309,19.98,79.9,0,1,1
6514,8000.0,26000.0,1,7,16
2680,19.7,49.0,4,6,1
5319,29.98,99.9,0,6,10
2384,48.0,159.99,4,5,1
6428,14000.0,32000.0,4,4,2
5319,25.9,75.9,0,4,1
6428,9600.0,29000.0,4,5,9
6428,12000.0,40000.0,0,4,5
1978,50.97,169.9,0,1,14
1803,69.0,318.0,4,5,18
3488,17000.0,51000.0,0,4,19
5011,47.7,159.0,4,5,18
2280,16000.0,1.2,4,4,13
4445,31000.0,99000.0,0,5,18
3572,180.0,400.0,0,4,0
6514,25.0,59.99,0,7,6
3718,47.7,169.0,1,1,18
59,22.85,85.0,4,4,22
2890,50000.0,1.3,4,5,9
1256,39.6,99.0,0,5,0
3702,15000.0,35000.0,4,5,3
6428,14.75,59.0,4,5,18
1229,3900.0,9800.0,4,1,20
1410,28.9,79.9,4,5,18
5405,9100.0,49000.0,0,5,1
6395,17.7,59.0,0,1,5
2357,27.5,89.99,0,1,18
1205,119.0,139.0,4,5,21
2849,34.95,233.0,4,6,2
2280,86.73,590.0,4,5,2
5089,9500.0,28500.0,2,4,5
6147,5950.0,20000.0,0,5,14
3313,37.0,75.0,0,3,14
2127,14.9,39.99,4,5,14
3587,6000.0,29000.0,0,5,14
5324,32000.0,1.28,0,4,14
956,9.96,89.9,0,5,18
519,55.0,189.9,0,6,14
5687,8400.0,39000.0,4,6,15
3369,6000.0,13000.0,0,5,1
2945,9.42,39.99,4,5,20
3324,22.5,89.99,0,5,2
935,17000.0,38000.0,0,4,21
2280,15000.0,72000.0,0,5,18
5319,15000.0,43000.0,0,4,14
1113,43000.0,89000.0,0,4,6
5886,27.0,89.99,4,4,3
5519,14000.0,53000.0,4,5,18
3587,14.19,79.9,0,4,18
708,8400.0,24000.0,0,5,19
1552,29.98,119.9,2,5,18
