marca,precoComDesconto,precoSemDesconto,Condicao,VENDIDO,tamanho_mapeado,Cores_Agrupadas
8601,64.0,160.0,0,0,2,21
10361,57.0,219.0,0,1,3,16
18,69.0,279.0,0,0,3,1
2160,25000.0,87500.0,4,1,3,18
7807,20.97,69.9,0,0,2,14
6414,29.98,119.9,0,0,3,14
2597,9000.0,24000.0,4,1,3,18
6619,12000.0,88700.0,4,1,3,18
9436,54500.0,1.45,4,0,4,12
173,39.9,119.99,0,1,3,14
8601,20.0,59.0,0,1,4,6
8597,13.49,89.9,0,0,2,18
3721,19.98,79.9,0,1,2,21
380,8000.0,26000.0,2,1,3,9
8597,19.7,49.0,0,0,3,18
4307,29.98,99.9,0,0,3,14
89,48.0,159.99,0,1,3,22
3103,14000.0,32000.0,4,0,2,18
7669,25.9,75.9,0,0,3,1
8699,9600.0,29000.0,4,0,3,18
4536,12000.0,40000.0,4,1,3,10
3215,50.97,169.9,0,1,2,1
9605,69.0,318.0,1,1,3,6
1027,17000.0,51000.0,4,0,3,1
8597,47.7,159.0,0,0,0,20
8077,16000.0,1.2,2,0,3,18
476,31000.0,99000.0,4,0,2,21
2880,180.0,400.0,0,1,0,5
8597,25.0,59.99,0,1,4,1
8115,47.7,169.0,0,0,3,14
7313,22.85,85.0,1,0,2,14
2025,50000.0,1.3,4,0,3,16
247,39.6,99.0,0,1,3,19
523,15000.0,35000.0,4,0,2,3
719,14.75,59.0,0,1,2,19
4364,3900.0,9800.0,4,1,3,9
2130,28.9,79.9,1,1,0,12
6619,9100.0,49000.0,4,0,3,18
10361,17.7,59.0,0,1,2,3
5476,27.5,89.99,0,1,2,14
10361,119.0,139.0,0,1,0,14
8931,34.95,233.0,0,1,3,20
7710,86.73,590.0,0,0,4,3
523,9500.0,28500.0,4,0,2,18
8692,5950.0,20000.0,4,1,3,19
10500,37.0,75.0,0,1,5,17
8164,14.9,39.99,0,0,0,21
8460,6000.0,29000.0,4,1,3,7
2025,32000.0,1.28,4,0,3,19
3721,9.96,89.9,0,1,3,18
5917,55.0,189.9,0,1,2,18
1357,8400.0,39000.0,2,0,3,19
10361,6000.0,13000.0,4,1,3,18
4920,9.42,39.99,0,1,0,3
8958,22.5,89.99,0,1,3,5
6619,17000.0,38000.0,4,1,3,1
4697,15000.0,72000.0,3,0,3,16
523,15000.0,43000.0,4,0,2,18
5658,43000.0,89000.0,4,0,3,18
8931,27.0,89.99,0,1,2,21
5395,14000.0,53000.0,4,1,0,9
8597,14.19,79.9,0,1,4,12
3474,8400.0,24000.0,4,1,3,21
1902,29.98,119.9,0,0,1,20
2672,14.02,39.9,1,1,2,5
9605,18000.0,59000.0,4,0,3,18
717,52500.0,1.749,2,0,3,18
7302,2700.0,27000.0,4,1,2,3
3474,3900.0,10000.0,4,1,3,18
1953,19.71,49.04,0,0,4,3
579,9000.0,32000.0,4,1,0,0
3721,40.0,76.0,0,1,2,14
8460,8000.0,28900.0,4,1,4,3
9184,12000.0,42000.0,4,0,3,18
3313,9000.0,27000.0,2,1,3,18
3721,24.0,79.99,0,1,1,5
5790,54.9,139.9,0,0,3,14
6107,18000.0,54000.0,4,1,0,5
8597,9.25,39.9,0,1,3,3
2465,12.0,39.99,0,1,3,3
523,12000.0,34000.0,4,0,3,9
76,8400.0,45000.0,4,0,3,21
523,10000.0,43000.0,4,1,3,18
3228,8000.0,39000.0,4,1,3,3
4516,10.0,89.9,0,1,2,5
7662,24.5,69.9,0,1,4,14
5395,10000.0,30000.0,4,1,2,18
1517,40000.0,1.1,4,1,3,10
10361,5000.0,12000.0,4,0,3,3
3011,8000.0,28000.0,4,1,3,14
523,14400.0,48000.0,4,0,3,21
3474,5500.0,16500.0,4,1,3,16
9605,28.63,1090.0,0,0,3,12
8173,12.0,39.99,0,1,4,1
5227,9000.0,28000.0,4,1,2,5
10361,4000.0,15000.0,4,1,3,9
560,12000.0,36000.0,4,0,4,18
1752,50.0,199.99,0,1,3,1
8931,10000.0,29000.0,4,0,4,18
523,12000.0,41000.0,4,0,3,2
4373,32.48,149.9,0,0,3,5
4536,14000.0,59000.0,4,0,2,18
2598,21.5,300.0,0,1,0,19
9439,71.5,285.98,0,0,0,1
4318,41.97,139.9,0,1,2,22
4261,15.73,62.9,0,0,3,14
5275,9000.0,31500.0,4,0,2,16
3734,39.0,129.99,0,0,2,18
8164,19.98,79.9,0,0,3,18
588,35.0,198.0,1,1,3,6
6056,6000.0,18000.0,4,1,2,5
2187,56.7,189.0,0,0,3,18
10361,6000.0,15000.0,4,1,2,18
1786,1500.0,3500.0,4,0,4,10
6278,12000.0,37000.0,2,1,3,14
2442,29000.0,1.0,4,1,3,15
4199,3500.0,10500.0,4,0,3,14
380,44.7,149.0,1,1,2,21
5895,16800.0,43000.0,2,0,3,15
2160,16000.0,48000.0,4,1,4,12
9443,14000.0,65000.0,4,1,2,1
